circuit_id,circuit_ref,circuit_name,location,country,latitude,longitude,altitude,data_source,ingestion_date
39,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,alt,dev,2024-06-11
40,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,alt,dev,2024-06-11
41,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,alt,dev,2024-06-11
42,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,alt,dev,2024-06-11
43,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,alt,dev,2024-06-11
44,monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,alt,dev,2024-06-11
45,montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,alt,dev,2024-06-11
46,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,alt,dev,2024-06-11
47,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,alt,dev,2024-06-11
48,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,alt,dev,2024-06-11
49,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,alt,dev,2024-06-11
50,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,alt,dev,2024-06-11
51,okayama,Okayama International Circuit,Okayama,Japan,34.915,134.221,alt,dev,2024-06-11
52,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,alt,dev,2024-06-11
53,pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,alt,dev,2024-06-11
54,phoenix,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,alt,dev,2024-06-11
55,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,alt,dev,2024-06-11
56,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,alt,dev,2024-06-11
57,reims,Reims-Gueux,Reims,France,49.2542,3.93083,alt,dev,2024-06-11
58,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,alt,dev,2024-06-11
59,riverside,Riverside International Raceway,California,USA,33.937,-117.273,alt,dev,2024-06-11
60,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,alt,dev,2024-06-11
61,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,alt,dev,2024-06-11
62,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,alt,dev,2024-06-11
63,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,alt,dev,2024-06-11
64,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,alt,dev,2024-06-11
65,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,alt,dev,2024-06-11
66,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,alt,dev,2024-06-11
67,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,alt,dev,2024-06-11
68,tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,alt,dev,2024-06-11
69,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,alt,dev,2024-06-11
70,vegas,Las Vegas Strip Street Circuit,Las Vegas,United States,36.1147,-115.173,alt,dev,2024-06-11
71,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,alt,dev,2024-06-11
72,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,alt,dev,2024-06-11
73,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,alt,dev,2024-06-11
74,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,alt,dev,2024-06-11
