circuitId,circuitRef,name,location,country,lat,lng,alt,url
19,donington,Donington Park,Castle Donington,UK,52.8306,-1.37528,alt,http://en.wikipedia.org/wiki/Donington_Park
20,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,alt,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
21,estoril,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417,alt,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril
22,fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927,alt,http://en.wikipedia.org/wiki/Fuji_Speedway
23,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,alt,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
24,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,alt,http://en.wikipedia.org/wiki/Prince_George_Circuit
25,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,alt,http://en.wikipedia.org/wiki/Hockenheimring
26,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,alt,http://en.wikipedia.org/wiki/Hungaroring
27,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,alt,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
28,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,alt,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
29,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,alt,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
30,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,alt,http://en.wikipedia.org/wiki/Istanbul_Park
31,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,alt,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
32,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,alt,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
33,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,alt,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
34,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417,alt,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez
35,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,alt,http://en.wikipedia.org/wiki/Kyalami
36,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,alt,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit
37,lemans,Le Mans,Le Mans,France,47.95,0.224231,alt,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
38,long_beach,Long Beach,California,USA,33.7651,-118.189,alt,"http://en.wikipedia.org/wiki/Long_Beach,_California"
39,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,alt,http://en.wikipedia.org/wiki/Losail_International_Circuit
40,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,alt,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
41,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,alt,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
