race_id,year,round,circuit_id,race_name,date,time,race_timestamp,data_source,ingestion_date
510,1980,13,7,Canadian Grand Prix,1980-09-28,\N,1980-09-28 \N,dev,2024-04-25
511,1980,14,46,United States Grand Prix,1980-10-05,\N,1980-10-05 \N,dev,2024-04-25
512,1979,1,25,Argentine Grand Prix,1979-01-21,\N,1979-01-21 \N,dev,2024-04-25
513,1979,2,18,Brazilian Grand Prix,1979-02-04,\N,1979-02-04 \N,dev,2024-04-25
514,1979,3,30,South African Grand Prix,1979-03-03,\N,1979-03-03 \N,dev,2024-04-25
515,1979,4,43,United States Grand Prix West,1979-04-08,\N,1979-04-08 \N,dev,2024-04-25
516,1979,5,45,Spanish Grand Prix,1979-04-29,\N,1979-04-29 \N,dev,2024-04-25
517,1979,6,40,Belgian Grand Prix,1979-05-13,\N,1979-05-13 \N,dev,2024-04-25
518,1979,7,6,Monaco Grand Prix,1979-05-27,\N,1979-05-27 \N,dev,2024-04-25
519,1979,8,41,French Grand Prix,1979-07-01,\N,1979-07-01 \N,dev,2024-04-25
520,1979,9,9,British Grand Prix,1979-07-14,\N,1979-07-14 \N,dev,2024-04-25
521,1979,10,10,German Grand Prix,1979-07-29,\N,1979-07-29 \N,dev,2024-04-25
522,1979,11,23,Austrian Grand Prix,1979-08-12,\N,1979-08-12 \N,dev,2024-04-25
523,1979,12,39,Dutch Grand Prix,1979-08-26,\N,1979-08-26 \N,dev,2024-04-25
524,1979,13,14,Italian Grand Prix,1979-09-09,\N,1979-09-09 \N,dev,2024-04-25
525,1979,14,7,Canadian Grand Prix,1979-09-30,\N,1979-09-30 \N,dev,2024-04-25
526,1979,15,46,United States Grand Prix,1979-10-07,\N,1979-10-07 \N,dev,2024-04-25
527,1978,1,25,Argentine Grand Prix,1978-01-15,\N,1978-01-15 \N,dev,2024-04-25
528,1978,2,36,Brazilian Grand Prix,1978-01-29,\N,1978-01-29 \N,dev,2024-04-25
529,1978,3,30,South African Grand Prix,1978-03-04,\N,1978-03-04 \N,dev,2024-04-25
530,1978,4,43,United States Grand Prix West,1978-04-02,\N,1978-04-02 \N,dev,2024-04-25
531,1978,5,6,Monaco Grand Prix,1978-05-07,\N,1978-05-07 \N,dev,2024-04-25
532,1978,6,40,Belgian Grand Prix,1978-05-21,\N,1978-05-21 \N,dev,2024-04-25
533,1978,7,45,Spanish Grand Prix,1978-06-04,\N,1978-06-04 \N,dev,2024-04-25
534,1978,8,47,Swedish Grand Prix,1978-06-17,\N,1978-06-17 \N,dev,2024-04-25
