constructor_id,constructor_ref,name,nationality,data_source,ingestion_date
108,epperly,Epperly,American,dev,2024-05-15
109,phillips,Phillips,American,dev,2024-05-15
110,lesovsky,Lesovsky,American,dev,2024-05-15
111,trevis,Trevis,American,dev,2024-05-15
112,meskowski,Meskowski,American,dev,2024-05-15
113,kurtis_kraft,Kurtis Kraft,American,dev,2024-05-15
114,kuzma,Kuzma,American,dev,2024-05-15
115,vhristensen,Christensen,American,dev,2024-05-15
116,ewing,Ewing,American,dev,2024-05-15
117,aston_martin,Aston Martin,British,dev,2024-05-15
118,vanwall,Vanwall,British,dev,2024-05-15
119,moore,Moore,American,dev,2024-05-15
120,dunn,Dunn,American,dev,2024-05-15
121,elder,Elder,American,dev,2024-05-15
122,sutton,Sutton,American,dev,2024-05-15
123,fry,Fry,British,dev,2024-05-15
124,tec-mec,Tec-Mec,Italian,dev,2024-05-15
125,connaught,Connaught,British,dev,2024-05-15
126,alta,Alta,British,dev,2024-05-15
127,osca,OSCA,Italian,dev,2024-05-15
128,gordini,Gordini,French,dev,2024-05-15
129,stevens,Stevens,American,dev,2024-05-15
130,bugatti,Bugatti,French,dev,2024-05-15
131,mercedes,Mercedes,German,dev,2024-05-15
132,lancia,Lancia,Italian,dev,2024-05-15
133,hwm,HWM,British,dev,2024-05-15
134,schroeder,Schroeder,American,dev,2024-05-15
135,pawl,Pawl,American,dev,2024-05-15
136,pankratz,Pankratz,American,dev,2024-05-15
137,arzani-volpini,Arzani-Volpini,Italian,dev,2024-05-15
138,nichels,Nichels,American,dev,2024-05-15
139,bromme,Bromme,American,dev,2024-05-15
140,klenk,Klenk,German,dev,2024-05-15
141,simca,Simca,French,dev,2024-05-15
142,turner,Turner,American,dev,2024-05-15
143,del_roy,Del Roy,American,dev,2024-05-15
144,veritas,Veritas,German,dev,2024-05-15
145,bmw,BMW,German,dev,2024-05-15
146,emw,EMW,East German,dev,2024-05-15
147,afm,AFM,German,dev,2024-05-15
148,frazer_nash,Frazer Nash,British,dev,2024-05-15
149,sherman,Sherman,American,dev,2024-05-15
150,deidt,Deidt,American,dev,2024-05-15
151,era,ERA,British,dev,2024-05-15
152,butterworth,Aston Butterworth,British,dev,2024-05-15
153,cisitalia,Cisitalia,Italian,dev,2024-05-15
154,lago,Talbot-Lago,French,dev,2024-05-15
155,hall,Hall,American,dev,2024-05-15
156,marchese,Marchese,American,dev,2024-05-15
157,langley,Langley,American,dev,2024-05-15
158,rae,Rae,American,dev,2024-05-15
159,olson,Olson,American,dev,2024-05-15
160,wetteroth,Wetteroth,American,dev,2024-05-15
161,adams,Adams,American,dev,2024-05-15
162,snowberger,Snowberger,American,dev,2024-05-15
163,milano,Milano,Italian,dev,2024-05-15
164,hrt,HRT,Spanish,dev,2024-05-15
167,cooper-maserati,Cooper-Maserati,British,dev,2024-05-15
166,virgin,Virgin,British,dev,2024-05-15
168,cooper-osca,Cooper-OSCA,British,dev,2024-05-15
169,cooper-borgward,Cooper-Borgward,British,dev,2024-05-15
170,cooper-climax,Cooper-Climax,British,dev,2024-05-15
171,cooper-castellotti,Cooper-Castellotti,British,dev,2024-05-15
172,lotus-climax,Lotus-Climax,British,dev,2024-05-15
173,lotus-maserati,Lotus-Maserati,British,dev,2024-05-15
174,de_tomaso-osca,De Tomaso-Osca,Italian,dev,2024-05-15
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,dev,2024-05-15
176,lotus-brm,Lotus-BRM,British,dev,2024-05-15
177,lotus-borgward,Lotus-Borgward,British,dev,2024-05-15
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,dev,2024-05-15
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,dev,2024-05-15
180,lotus-ford,Lotus-Ford,British,dev,2024-05-15
181,brabham-brm,Brabham-BRM,British,dev,2024-05-15
182,brabham-ford,Brabham-Ford,British,dev,2024-05-15
183,brabham-climax,Brabham-Climax,British,dev,2024-05-15
184,lds-climax,LDS-Climax,South African,dev,2024-05-15
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,dev,2024-05-15
186,cooper-ford,Cooper-Ford,British,dev,2024-05-15
187,mclaren-ford,McLaren-Ford,British,dev,2024-05-15
188,mclaren-seren,McLaren-Serenissima,British,dev,2024-05-15
189,eagle-climax,Eagle-Climax,American,dev,2024-05-15
190,eagle-weslake,Eagle-Weslake,American,dev,2024-05-15
191,brabham-repco,Brabham-Repco,British,dev,2024-05-15
192,cooper-ferrari,Cooper-Ferrari,British,dev,2024-05-15
193,cooper-ats,Cooper-ATS,British,dev,2024-05-15
194,mclaren-brm,McLaren-BRM,British,dev,2024-05-15
195,cooper-brm,Cooper-BRM,British,dev,2024-05-15
196,matra-ford,Matra-Ford,French,dev,2024-05-15
197,brm-ford,BRM-Ford,British,dev,2024-05-15
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,dev,2024-05-15
199,march-alfa_romeo,March-Alfa Romeo,British,dev,2024-05-15
200,march-ford,March-Ford,British,dev,2024-05-15
201,lotus-pw,Lotus-Pratt &amp; Whitney,British,dev,2024-05-15
202,shadow-ford,Shadow-Ford,British,dev,2024-05-15
203,shadow-matra,Shadow-Matra,British,dev,2024-05-15
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,dev,2024-05-15
205,lotus_racing,Lotus,Malaysian,dev,2024-05-15
206,marussia,Marussia,Russian,dev,2024-05-15
207,caterham,Caterham,Malaysian,dev,2024-05-15
208,lotus_f1,Lotus F1,British,dev,2024-05-15
209,manor,Manor Marussia,British,dev,2024-05-15
210,haas,Haas F1 Team,American,dev,2024-05-15
211,racing_point,Racing Point,British,dev,2024-05-15
213,alphatauri,AlphaTauri,Italian,dev,2024-05-15
214,alpine,Alpine F1 Team,French,dev,2024-05-15
